Name,State,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,GrAppv,SBA_Appv
"Celtic Testing Experts, Inc.",GA,84,14,1,0,0,1,100000,50000
"Sterling Financial Services, L",AZ,84,6,1,1,7,1,158400,79200
Chad D. Bullington,NC,36,6,1,0,6,2,100000,85000
Competitive Timing LLC,MT,60,2,2,0,2,2,26000,13000
Universal Grocery Store,CA,60,1,1,0,1,1,50000,25000
"CXN Real Estate Services, LLC",IL,84,1,1,0,0,1,45000,22500
Webiomass Inc,VT,3,1,2,0,1,1,75000,67500
"Corps Constructors, LLC",LA,87,3,1,1,4,1,280000,210000
"Corps Constructors, LLC",LA,84,3,1,1,4,1,90000,67500
"JW NUTRITIONAL, LLC",TX,84,37,1,10,0,1,350000,315000
Murley Floorcoverings,WA,84,3,1,2,5,1,100000,50000
Total Cable Solutions Inc,OH,84,8,1,11,19,1,350000,175000
Austin Carlen,MN,60,0,1,1,0,1,100000,50000
GOLD TOUCH INC,WV,84,5,1,0,5,2,25000,12500
"Driver Directional, Inc",TX,12,2,2,3,2,1,250000,125000
"GA Holdings, LLC",NV,73,3,2,2,3,1,93500,79475
"Boninfante Friction, Inc",PA,84,34,1,0,34,1,433000,324750
"COMITSYS, INC.",CA,74,8,1,0,8,1,35000,17500
MAXXAUTOS INC,MN,84,3,2,1,0,1,25000,12500
JPC & Company,PA,90,0,2,0,0,1,282000,211500
"V Investment ,Inc. dba GAAM",CA,120,8,1,0,8,1,310000,232500
"LECTRA-TECH, L.L.C.",NM,2,5,2,0,5,2,20000,10000
Donald L. Sappanos P.C.,MI,11,2,1,0,2,1,285000,142500
"JKJ Automotive, Inc.",TX,120,7,2,0,7,1,262000,196500
Resource Conservation Technolo,FL,120,15,1,0,15,1,1658000,1243500
MichaelWelch,OR,12,3,1,0,3,1,10000,5000
"Universal Industrial Gases, In",PA,12,12,1,2,12,1,2500000,2250000
ASARA 34203 LLC,WA,122,2,1,2,8,2,395000,296250
"Fiesta Farms, LLC",TX,12,6,1,0,6,2,25000,12500
"SHERGILL TRANSIT LINES, LLC.",OH,36,0,1,0,0,1,12900,6450
"Savetax Financial, Inc.",FL,120,3,2,3,0,1,389000,291750
IDEATION PROMOTIONS & APPAREL,OR,84,1,1,1,2,1,10000,5000
HAPPYTIME BOOKS LLC,CA,71,1,1,0,0,1,10000,5000
"Maple & Ash Management, LLC",IL,132,2,2,118,0,1,408000,306000
"LH JOHNSON CONSULTING, LLC",AZ,84,2,2,0,2,1,50000,25000
Intricate Precision Manufactur,PA,120,13,2,11,2,2,329000,246750
"Total Formula, Inc.",CA,84,1,1,5,2,1,75000,37500
ROYAL MEDICAL,PA,120,25,1,2,25,1,4300000,3225000
"Klein Vision Group, PLLC",TX,84,10,1,2,10,1,40000,20000
Rug Bones Flooring LLC,AK,84,4,2,0,4,1,25000,12500
D&K LAWNCARE,KY,48,1,1,0,0,2,7000,3500
"EI Spectra, LLC",ID,84,12,1,0,0,2,200000,100000
"J & M HOT OIL SERVICE, INC.",UT,84,4,2,0,4,2,30000,15000
"NueVista Group III, LLC",IL,84,49,2,0,0,1,350000,175000
"Pashi and ME Holdings, LLC.",MA,60,0,1,16,0,1,178000,133500
"Incite Design Studio, LLC",KS,6,3,1,0,3,1,25000,12500
Clayton Agri-Marketing Inc.,MO,12,4,1,0,4,1,2800000,2520000
"KSBT Group, LLC",TX,84,2,2,4,4,1,29300,14650
"Flarerty Financial Services, L",PA,84,2,1,2,2,1,147000,124950
LHR Holdings LLC and Feazel Ro,OH,84,5,2,1,5,1,350000,175000
"Leisure Trends Group, LLC",CO,24,40,1,0,40,1,1000000,750000
Digital Learning Labs LLC,NY,84,1,2,1,1,1,50500,25250
"LBC Logistics Solutions, Inc.",FL,84,1,1,0,0,1,40000,20000
"Peak Ventures, LLC",NE,54,1,2,10,0,1,150000,127500
JERRY DTORGERSON,UT,84,2,1,0,2,2,15000,7500
Homestead Maintenance,TX,60,5,2,0,0,1,38400,19200
"My Dad's Gluten Free Products,",NY,84,1,1,2,0,1,25000,12500
"Hampton Grains, Inc.",CA,12,3,1,0,0,1,100000,50000
Mac Dillon Corporation dba Sup,TX,303,6,1,0,6,1,1150000,862500
Alfreds Away LLC,WA,60,3,2,5,0,1,80000,40000
Alfreds Away LLC,WA,84,3,2,5,0,1,50000,25000
"UCBM Facility Service, Inc.",TX,60,1,2,1,1,1,51900,25950
SHANTELL'S TIPS AND TOES,MS,24,1,2,0,1,1,10000,8500
Mozaiqe Holding LLC,NY,60,3,2,1,0,1,65000,32500
"Markkaa, Inc. dba The Compound",PA,84,2,1,0,2,1,25000,12500
DISTINCTIVE HOME PHYSICAL THER,NY,84,1,1,1,0,1,15000,7500
"APPLIED MEMBRANES,INC.",CA,12,200,1,0,200,1,560000,504000
"GEN OXNARD, INC.",CA,120,18,2,18,0,1,1200000,900000
Green Forest Foods LLC,CA,84,2,1,0,0,1,10000,5000
NOBLE MANOR L.L.C.,ID,84,14,1,4,17,1,40000,20000
Edward D. Horst,AZ,300,1,1,1,0,2,908700,681525
Edward D. Horst,AZ,300,1,1,1,0,2,538900,404175
"Briar Rose Estates, LLC",CA,12,1,1,0,1,2,391000,293250
"Briar Rose Estates, LLC",CA,12,1,1,0,1,2,391000,293250
THDT Investment Inc,CA,300,0,2,25,0,1,856700,642525
THDT Investment Inc,CA,300,0,2,25,25,1,673500,505125
"MORROW ENTERPRISES, INC.",MN,18,130,1,1,99,2,250000,187500
"J & H Supply, LLC",IA,60,5,1,0,5,1,25000,12500
"Jeteye, Inc.",NJ,84,10,1,10,0,1,150000,75000
Southern Iowa Home Health LLC,IA,12,6,2,13,6,2,30900,15450
"S and G Contracting, LLC",IN,72,1,1,0,1,1,35000,17500
Touch of Relief LLC,OH,36,0,1,0,0,1,17700,8850
Winning Edge Golf LLC,MT,12,3,1,0,3,2,100000,50000
"QUEENS ENGINE, INC.",CA,12,2,2,3,2,1,500000,450000
"Verde Farms, LLC",MA,120,3,1,1,3,1,850000,637500
MCCPD LLC,MN,180,2,1,0,2,1,41500,20750
Future Green Studio Corp,NY,60,14,1,1,14,1,25000,12500
"CONCEPT PROCESSING, LLC",MN,84,15,1,2,0,1,100000,50000
WILDFLAG LLC,GA,68,1,2,1,3,1,10000,5000
"Colorado Publicans, LLC",CO,72,71,1,0,71,1,20000,10000
"LILY MED SPA, CORP",TX,120,1,2,0,0,2,96000,48000
"Gaven Industries, Inc",PA,12,30,1,0,30,2,1750000,1312500
Hudyma Farms,DE,180,2,1,0,2,2,350000,175000
"Capogiro, LLC",PA,10,44,1,0,44,1,75000,63750
M+M Inc,CO,306,13,1,1,13,2,350000,262500
"The Country Bakery, LLC",KY,120,3,1,0,0,1,81000,68850
ACCESS OEM LLC,TX,12,6,1,2,6,1,300000,150000
Kenneth Longsworth dba J L Ent,IN,36,0,1,0,0,1,6000,3000
Diaz Data Services LLC,PA,120,8,1,0,8,1,500000,375000
"Phil Jones, Inc.",CA,12,2,1,0,2,1,25000,12500
EEI Acquisition Corp.,OH,84,37,1,0,0,1,500000,375000
Brookfield Liquor and Beer LLC,WI,12,1,2,0,0,1,6400,5440
Swypeless Inc.,NY,84,2,2,0,2,1,25000,12500
"MACD, LLC",TX,312,10,1,10,15,2,2337000,1752750
"Trent M Kelly DDS, LLC",OH,60,0,1,0,0,1,25000,12500
"I-Kor Design, Inc.",IL,84,15,1,15,0,1,30300,15150
JAL & JLL LLC,MD,48,4,1,1,6,1,184000,92000
"Vanderbilt Landscaping, LLC",TN,120,10,1,0,0,1,690000,517500
"TJS Leasing & Holding Co., Inc",CA,12,108,1,50,0,1,350000,175000
Precision Technologies Corp,NJ,24,25,1,10,0,1,100000,50000
Signature Care LLC,NY,60,1,1,0,0,1,100000,50000
RICIA H KING,VA,36,2,1,0,0,2,28800,14400
Coaxial Studios LLC,LA,12,3,2,3,0,1,50000,25000
"Dwenger Construction Group, LL",OH,72,2,1,1,3,1,25000,12500
"SHIOCTON CUT STOCK, LLC",WI,12,20,1,0,20,1,101300,50650
NORTH PACIFIC TRANSPORT LLC,OR,77,5,2,0,0,1,15000,7500
Admiral Roofing & Construction,OK,12,4,1,0,0,1,150000,75000
"J-Net Warnings, LLC",KS,60,3,1,2,3,1,92000,46000
"The Bike Lane, LLC",IL,84,3,1,0,0,1,10000,5000
Tom Phelps LLC,OR,72,1,1,0,0,1,25000,12500
Marty D. Brown,MT,24,3,2,0,3,1,20400,10200
Adventure Trading RV LLC,OR,72,2,1,1,3,1,10000,5000
"Kalnitz Kitchens, Inc.",NY,87,11,1,0,0,1,250000,125000
"Wirosa Group, Inc",FL,12,6,1,1,7,1,650000,585000
"Wirosa Group, Inc.",FL,12,6,1,1,7,1,300000,270000
"Image Plus Quality Printing, I",WI,90,9,1,11,9,1,462000,346500
"Boardworks, Inc",IN,12,4,1,0,4,1,30000,15000
Midwest Construction LLC,OR,60,2,1,1,2,2,25000,12500
"Boutique Hotel The One, Inc.",NY,126,0,2,0,0,1,3500000,2625000
"YELLOW PAGE LOGIC, INC.",ID,84,2,1,0,2,1,65000,55250
M. SAB Transport Inc.,MI,48,2,1,0,0,1,65600,32800
"White Horse Services, LLC",NM,84,3,1,0,3,2,95000,47500
"Spectrum Eyecare Optometry, In",CA,84,13,1,1,13,2,100000,50000
"LEGENDARY RESTAURANT GROUP, LL",MA,60,170,1,30,170,1,309000,231750
"TDAC Colony Square, LLC",GA,120,25,2,8,25,1,150000,127500
"Good Start Packaging, Inc.",CA,120,2,1,2,0,1,100800,85680
"GARY J. WAYNE, D.M.D., P.A.",FL,60,4,1,4,0,2,238000,119000
Life Changes Mental Health & A,IN,12,0,2,4,0,1,20000,10000
"Scholten Enterprises, LLC",OH,46,20,2,0,0,1,100000,50000
FKP LLC,GA,36,19,1,16,0,2,75000,37500
"Pack and Ship North Dakota, LL",ND,12,2,2,2,0,1,30000,15000
Robert W. Lynch,MA,120,2,1,0,2,1,85000,72250
Total Comfort Solutions Inc,PA,12,14,1,2,14,1,100000,50000
"Pledger Business Development,",KY,12,1,2,0,1,1,25000,12500
MINERS LUNCHBOX INC,NV,84,1,1,0,0,1,50000,25000
"Conner Engineering, Inc.",MI,240,21,1,0,21,2,188000,188000
Joshua Tree Forestry Consultin,NY,72,1,1,0,0,1,10000,5000
"WELCOME HOTELS OF INDY, INC.",IN,240,12,1,0,0,2,1560000,1170000
"Eleven Eleven Tennessee, LLC",TN,120,108,2,24,108,1,402000,301500
"Apgar Medical Center, Inc.",FL,84,1,2,3,3,1,37400,18700
Kansas City Testing and Engine,KS,70,16,1,1,16,1,80000,40000
"Ultratech Tool & Design, Inc.",WI,180,14,1,0,14,1,150000,127500
"Apgar Medical Center, Inc.",FL,84,1,2,3,3,1,20000,10000
"Renaissance Nursing Services,",TX,84,1,1,0,0,1,146000,73000
Vazquez Masonry LLC,LA,84,20,1,30,20,1,50000,25000
TWO MAN MOVERS & STORAGE INC.,UT,60,15,1,3,15,1,32400,27540
"New York Optical, Inc.",FL,12,32,1,0,32,1,1100000,990000
Guerrieri Management Inc,FL,120,305,2,0,0,2,2080000,1560000
Steven R. Trafford,AR,60,2,1,0,2,1,8500,4250
"Links Print Resources, LLC",MN,84,6,1,0,6,1,175000,87500
"Andean Stone Company, LLC",FL,84,4,1,1,0,1,80000,68000
Branum's Sewing & Vacuum Cente,GA,84,18,1,0,0,1,125000,62500
"Telex Metals, LLC",PA,12,10,1,3,10,1,5000000,3750000
"RIVERWOOD MANAGEMENT, INC",UT,24,7,1,1,7,1,18000,15300
"Waffle-Crete International, In",KS,120,11,1,21,11,2,568000,426000
Roy S. Merwin DBA Asher Counse,OH,84,0,1,0,0,1,5000,2500
"Aspen Athletics of Nebraska, L",NE,84,90,1,0,90,1,2050000,1537500
"Bobby J. Grossi, D.D.S. PC",MI,120,18,1,0,0,1,227000,170250
"Alan Lee, Inc",NY,72,15,1,0,15,1,15000,7500
"MORROW ENTERPRISES, INC.",MN,12,130,1,99,1,2,61200,45900
Marine Safety & Rescue Service,MD,24,1,1,0,0,1,45000,22500
"NAMASTE', LLC",ID,84,8,2,0,0,2,20000,10000
Addy Bittner,OR,72,1,1,2,2,1,10000,5000
Stephen Cheng-Kwang Lew dba Bu,CA,120,4,1,0,2,1,936000,702000
Strata Drilling LLC,OR,48,11,1,0,0,1,800000,600000
"HDDS, Incorporated, a Kentucky",KY,9,3,1,0,2,1,20000,10000
NME Builders & Designers LLC,OH,60,15,1,4,2,1,35000,17500
"Toriland Preschool & Daycare,",NM,120,12,1,0,12,2,40000,30000
"CBS Manhattan, LLC",KS,11,1,1,0,1,2,1144400,858300
"Foundation Systems Group, LLC",CT,60,2,1,0,2,2,200000,100000
O2 Systems LLC,PA,12,4,1,2,4,1,125000,62500
The Cultured Pearl,OR,72,2,1,0,2,1,15000,7500
"Allmax Machining, LLC",WI,60,3,1,1,3,1,25000,12500
"Allmax Machining, LLC",WI,84,3,1,1,3,1,15000,7500
"Coinforce.com, LLC",WA,12,8,1,1,8,1,100000,85000
"Day 1 Solutions, L.L.C.",VA,84,6,2,0,0,1,25000,12500
The Specialty Switch Company;,OH,60,30,1,0,0,1,112000,56000
"Royal Business & Associates, I",FL,12,9,1,1,9,1,2500000,2250000
"Universe Painting, Inc.",CA,84,23,1,0,0,1,50000,25000
"Secure Ideas, LLC",CO,84,7,1,0,0,1,50000,25000
"The Generator Connection, Inc.",NH,84,19,1,3,0,2,230000,115000
Nation Consulting LLC,WI,84,8,1,0,2,1,30000,15000
"Capital Granite and Marble, In",MN,60,36,1,0,36,1,750000,562500
ENCENTRIC INC,VA,84,18,1,6,24,2,125000,62500
Cakeboxx Technologies LLC,VA,6,1,1,6,1,1,98000,49000
Steven R. Trafford,AR,12,2,1,0,2,1,41000,20500
"TrigTec, LLC",MI,13,16,1,1,2,1,100000,50000
"Gulley's Trucking, Inc.",AL,12,3,1,0,3,1,30500,15250
Century Food Distributors Inc.,NJ,24,0,2,7,0,1,200000,100000
"GRIMES ENTERPRISES III, LLC",WV,24,5,1,0,0,1,10300,5150
Patio World Imports LLC,RI,84,2,2,0,2,1,15000,7500
Rondald Schwartz dba Perfect L,MI,76,0,2,0,0,1,20000,10000
"Calvary Kutrite, LLC",TX,84,2,2,2,4,1,33000,28050
"TOMBOY TOOLS, INC.",CO,84,7,1,0,0,2,100000,50000
"Holdem Enterprises, LLC",NY,60,20,1,0,20,1,200000,100000
"Finoptics, Inc.",GA,84,3,1,0,0,1,50000,25000
1 Corp,IL,60,4,1,0,4,1,75000,37500
Graves Holding LLC,MO,36,2,2,1,2,1,50000,42500
"Cobra Construction, Inc.",MN,12,5,1,0,5,1,50000,25000
"Novatech Industries, Inc.",NY,60,18,1,0,18,1,200000,100000
Pop It Forward LLC,NY,84,3,2,0,3,1,25000,12500
Pop It Forward LLC,NY,63,3,2,0,0,1,150000,75000
"Brandon A. James, DDS, P.A.",KS,12,5,2,0,5,1,60000,30000
Punched in the Head Production,NY,84,1,1,0,0,1,350000,175000
"J. G. CORAM COMPANY, INC.",NC,48,25,1,0,0,2,22500,11250
Southwest Vision LLC,UT,60,10,1,2,10,2,65000,32500
JEFF HAYMAN EXCAVATING INC,OH,59,3,1,0,0,2,150000,75000
TWIST SALON,CA,84,2,2,0,2,1,5000,2500
"Wisco Stone, LLC",WI,10,10,2,0,10,1,80000,40000
"Laugh Your Way, America I L.L.",WI,144,14,1,14,14,1,1140000,855000
Yolickity Greece LLC,NY,63,12,2,0,12,1,270000,202500
"Precision Wildlife Services, I",MA,84,13,1,0,13,1,25000,12500
"EH Insurance Agency, Inc / Joh",OH,60,2,1,0,2,1,167300,83650
Kenneth Kerper dba Cell Phones,OH,60,0,1,0,0,1,50000,25000
"THE DIAMOND CENTER, INC.",WI,12,40,1,40,40,1,1500000,1125000
A.C.E. TECHNICAL SOLUTIONS INC,NE,13,2,1,3,2,1,25000,12500
"Dr. William K. Harkins, P.C.",PA,120,9,1,0,1,1,252100,126050
Hadiamondstar Software Solutio,VA,84,50,1,10,0,1,150000,75000
"KSP Enterprise, Inc",CA,12,4,1,0,4,1,1200000,1080000
Frank Lopez Inc,NV,84,7,1,0,0,1,15000,7500
George C. Kutzner,MO,6,12,1,0,12,1,50000,25000
KMC Industries LLC,IN,45,6,2,0,0,1,45000,22500
KMC Industries LLC,IN,33,6,2,0,0,1,70000,35000
"The Eliminator Pest Control, L",VT,120,2,1,0,2,1,24000,12000
"Rogue Valley Microdevices, Inc",OR,66,8,1,1,7,1,33000,16500
"Harney Hardware, Inc",FL,24,8,1,3,8,1,350000,175000
Apps Associates LLC,MA,12,88,1,20,88,1,2000000,1500000
"Castles Unlimited, Inc.",MA,60,1,1,0,1,1,75000,37500
"Samra & Sons, Inc. dba Yermo S",CA,300,4,1,0,4,1,1080000,810000
"Street Moda, LLC",KY,12,45,1,5,15,1,200000,180000
"Tazzy Enterprises, Inc.",MN,4,9,1,0,0,1,20000,10000
M&M SCRUBS DIST INC.,CA,13,2,1,1,1,1,100000,50000
"Homisco, Inc.",MA,12,27,1,0,27,1,500000,450000
Chicago Printing and Embroider,IL,120,23,2,0,23,1,200000,150000
"Greenimage Landscape & Design,",IN,84,4,1,0,0,1,25000,12500
"Ice House Lofts, LLC",KY,60,50,1,10,50,1,113000,56500
"Law Offices of David Kovari, P",FL,84,1,1,0,0,1,25000,12500
Kelly Ripley,MO,48,1,1,0,0,2,41000,20500
"ChemCal, Inc.",TX,120,60,1,60,60,1,1500000,1125000
"Entec Services, Inc.",AL,85,45,1,0,45,1,1070000,802500
"Entec Services, Inc.",AL,120,45,1,0,45,1,500000,375000
P AND G INVESTMENT GROUP LLC,NC,60,1,2,15,0,2,350000,175000
R.G.L. Clothing Corp.,NY,60,2,1,0,2,1,35000,17500
"Snof Services, INC.",IL,120,2,1,0,2,1,174500,130875
"THE GOOD BULL GROUP, INC.",MT,114,2,2,20,2,1,230000,172500
Home Design and Supply LLC,ND,12,1,2,3,1,1,100000,50000
GEMSTONES NEMT SERVICE LLC,TX,96,1,2,1,1,1,12500,10625
Keven R Jacobs,ME,48,3,1,0,3,1,37000,18500
"Granite Gear, Inc.",MN,120,24,1,0,24,2,500000,375000
"Aretusa, LLC",VA,84,2,2,0,2,1,58500,49725
Brian Beriswill dba Beriswill,OH,60,0,1,0,0,1,33000,16500
Bemis Utility Location Service,NH,60,1,1,0,1,1,32000,16000
"My Girls, Inc",PA,84,1,2,10,11,1,129000,64500
"TOMBOY TOOLS, INC.",CO,84,7,1,2,0,1,137000,116450
APPALACHIAN RECLAMATION CONTRA,NC,6,4,2,20,24,2,100000,85000
Feedlogic Corporation,MN,12,7,1,3,7,2,350000,315000
"Pioneer Holdings - Kenmore, LL",NY,180,12,2,3,15,1,140000,105000
Henry Heidenreich,FL,120,10,1,0,10,1,195000,146250
"Weston Health Club, LLC",WI,84,0,2,10,0,1,40000,20000
"PBC Adhesives, Inc.",IL,84,5,2,0,5,1,350000,175000
Grampy LLC,VT,123,0,2,55,0,1,1525000,762500
"Gifford Landscaping Services,",FL,60,31,1,0,31,1,242000,181500
Edifice LLC,MD,60,12,1,0,12,1,250000,187500
"Gifford Landscaping Services,",FL,84,31,1,0,31,1,125000,62500
FG 1 - OP Inc.,NY,120,0,2,4,4,1,520000,390000
FG 2 - OP Inc.,NY,120,0,2,4,4,1,580000,435000
"Burdenbe, Inc.",CA,84,2,2,0,0,1,40400,20200
"J and K Powder Coating, LLC",OH,60,0,2,0,0,1,10000,5000
BLUE PACIFIC PROPERTY & INVEST,CA,84,2,1,1,1,1,20000,10000
"Race Pro Products Company, Inc",CA,84,5,1,2,5,1,174800,131100
STONEY CREEK PHARMACY INC,VA,60,3,2,3,0,2,160000,80000
Maui Brick Oven LLC,HI,36,6,2,0,6,1,72000,61200
"Nusa Indah, Inc.",NY,84,1,1,0,0,1,10000,5000
Hardy Equipment Rentals LLC,TX,36,5,2,2,0,1,136000,68000
Saint Boniface Craft brewing C,PA,120,0,2,3,0,1,55000,46750
Guynes Printing Company of Tex,TX,58,65,1,0,65,1,1043900,782925
Mueller Motorwerks LLC,WI,84,2,1,1,0,2,50000,25000
Complete Family Care Practitio,KY,84,1,2,3,1,1,75000,37500
Haka! Group Fitness LLC,CO,120,5,2,0,5,1,189300,155865
"Insight Development Group, Inc",MA,84,3,1,1,0,2,50000,25000
"Dinkel CPA Services, LLC",CO,72,1,1,0,1,1,10000,5000
Oasis Therapy Inc,IL,84,1,2,0,0,1,40000,20000
LUTHER QUINTANA UPHOLSTERY COR,NY,84,18,1,0,3,1,50000,25000
Construction & Industrial Equi,NJ,84,9,1,0,9,1,350000,175000
"C. and J. Liquors, Inc.",MA,12,8,1,1,8,1,125000,62500
VITAL LINK INCORPORATED,TX,12,50,1,2,50,1,1000000,900000
"David J. Weiner, D.M.D., P.A.",FL,60,9,1,1,9,1,200000,100000
Savenergy Inc,NY,12,4,1,6,4,1,2000000,1500000
Mountain Craft Services LLC,CA,84,1,2,2,2,1,25300,12650
"JAMES P. BENNETT, D.D.S., INC.",OH,60,0,1,0,0,1,15000,7500
Taboon Restaurant Corp.,NY,60,20,1,5,20,1,100000,50000
"A-1 Fence Co, Inc",WI,12,8,1,4,4,1,80000,40000
"RWDY, Inc.",TX,24,110,1,139,110,1,4000000,3000000
CISD Management,NJ,84,8,2,4,12,1,155000,116250
"PanPac, LLC",NJ,12,15,1,0,15,1,1333000,1199700
"Roosevelt Chiropractic, P.C.",UT,103,5,2,5,5,2,470000,352500
"Hometown Carpet, Inc.",PA,84,6,1,0,6,1,200000,150000
Hair Tech LLC,MA,84,2,1,0,0,1,25000,12500
"Clement Support Services, Inc.",CA,84,74,1,7,74,1,250000,187500
Arch-Con Corporation,TX,12,28,1,8,28,1,2000000,1500000
"Blessall SF Gillette, LLC",MD,63,6,2,0,9,1,247500,123750
Hughes Poultry Farm,SC,12,2,1,0,2,2,31000,15500
JetAlum LLC,MO,12,17,2,4,0,1,350000,175000
"Material Innovations, Incorpor",CA,240,9,1,20,0,1,561000,561000
J Media Inc,WA,84,2,1,3,2,1,10000,5000
"Redline 1, LLC",MO,90,2,2,1,1,1,87000,73950
Rehab Advantage LLC,OH,84,0,2,0,0,1,85000,42500
One Ten Grill LLC,MA,84,25,2,5,25,1,100000,50000
"CI Design, Inc",MA,12,20,1,5,20,1,225000,168750
Divine Bakery LLC,NV,96,2,2,3,0,1,15000,12750
"Brubaker Transport, Inc.",MT,60,0,2,1,0,1,35600,30260
Howard County Fitness Systems,MD,60,1,2,0,1,1,25000,21250
Howard County Fitness Systems,MD,84,1,2,0,1,1,25000,21250
"Premier Sign Systems, LLC",NY,11,21,1,2,3,1,350000,262500
"J.F. Palmer and Sons Produce,",TX,84,50,1,10,60,1,250000,125000
"Cecil Graves Autoplex, LLC",LA,245,24,2,8,24,1,635000,476250
LIQUID ENGINEERING CORPORATION,MT,12,23,1,13,23,1,125000,62500
Precision Restoration Co Inc,WI,84,3,1,1,0,1,40000,20000
Nirosteel LLC,NC,12,3,1,0,3,1,3000000,2700000
"Redpost, Inc.",IN,60,5,1,3,8,1,100000,85000
Glikas Enterprises LLC,NM,6,5,2,12,5,1,139800,69900
Quality Control Assurance Grou,TN,84,48,1,0,48,2,350000,175000
BACK COUNTRY DRIVING SCHOOL IN,VA,48,4,1,1,0,2,18000,9000
BACK COUNTRY DRIVING SCHOOL IN,VA,48,4,1,1,0,2,21600,10800
"BMC Enterprises, Inc.",ID,12,6,1,2,1,1,75000,63750
"Merchant View, LLC",AR,84,20,1,5,5,1,110000,55000
"Petersen Brothers, Inc",WA,72,68,1,0,68,1,600000,450000
BENCHARONG THAI HOUSE,CA,84,0,2,2,0,1,10000,5000
Gates Electrical Systems Inc,MD,60,2,1,0,2,1,25000,12500
Silva Oaks Enterprises,CA,12,2,1,0,0,1,100000,85000
"Diamond T Welding of Wyoming,",PA,12,30,1,1,0,1,80000,40000
Swell Event Rental Inc,KS,84,10,1,3,10,1,235000,176250
Willow Street Enterprise LLC,PA,90,6,2,6,6,1,127500,63750
Wendell August Forge Inc and F,PA,12,145,1,20,0,2,5000000,3750000
"Greenwise Organic Lawn Care, L",IL,84,28,1,4,2,1,100000,50000
"Airport Plaza Grocery, Inc.",NY,84,0,2,13,13,1,790000,592500
Hi-Performance Hot Pressure Cl,FL,12,3,1,2,3,1,51000,25500
"Corvea Trucking, Inc",FL,84,40,1,0,0,1,100000,50000
Win Incentives LLC,WA,84,1,2,0,0,1,100000,50000
"Bellevue Land Co., LLC",MI,180,10,1,0,10,2,200000,150000
Veteran Solutions Inc.,MD,9,100,1,0,100,1,234000,175500
"Reflexonic, LLC",PA,36,1,1,1,2,1,100000,50000
"TheLamco, Inc.",MI,13,20,1,0,20,1,350000,175000
William C Shelton,NE,60,1,2,1,0,1,28400,24140
Applied Radar Inc.,RI,6,25,1,0,5,1,150000,127500
Terry L. St. Piere,VT,84,0,1,0,0,2,5600,2800
"Edwin P.Whittemore, P.C.",MA,12,3,1,0,3,2,20000,10000
PIONEER FAMILY DENTISTRY,NE,84,7,1,0,7,1,50000,25000
"Protrend, Ltd.",CA,300,30,1,0,30,1,4148000,3111000
"Export Global Metals, Inc",OR,12,20,1,0,20,1,2500000,2250000
"Access Plumbing, LLC",OH,72,2,1,0,2,1,30000,15000
Commercial Solutions Inc.,VA,84,4,1,0,0,1,25000,12500
Versevo Inc.,WI,84,65,1,0,65,1,199900,149925
FLASH PHOTO/FLASH PACK & SHIP,NH,8,7,1,0,7,1,4300,2150
FRANCO LLC,WA,72,5,1,0,5,1,15000,7500
"Math Add- Ventures, Inc.",AL,24,4,1,1,0,1,15000,7500
"Kelli, LLC",OR,72,6,1,0,0,1,15000,7500
"Axis Mechanical, Inc",CA,123,3,2,5,3,1,502900,377175
"Argos Global Partner Services,",FL,12,9,1,0,9,2,3000000,2700000
"Baltodano & Baltodano, LLP",CA,12,3,1,1,2,1,100000,50000
"Pizza Pura, Inc.",NC,60,2,2,10,0,1,60000,30000
Phoenix Trinity Manufacturing,OH,60,4,1,0,0,1,50000,25000
"Challenging Kachina, Inc.",MA,12,12,1,0,12,1,50000,25000
Bluegrass Pharmacy Of Lexingto,KY,84,12,1,5,12,1,350000,175000
EJK Holdings LLC,MO,120,14,1,19,14,1,129800,110330
"Premium Concrete, Inc",IL,8,40,1,0,40,1,750000,562500
Maluk Enterprising Corporation,CA,84,1,2,1,2,1,15000,7500
CP Franchising LLC,FL,120,0,1,0,0,1,5000000,3750000
"Colorway Industry, Inc.",CA,300,4,1,1,4,1,615000,461250
Ziriguidun LLC,HI,48,0,2,6,0,1,60000,51000
Fernando Garcia Productions,NY,84,1,2,1,0,1,10000,5000
"FPF, LLC",OH,60,0,1,0,0,1,50000,25000
ElenaInoa,MA,84,4,1,0,0,1,50000,25000
"Appliance Tech Services, Inc.",MO,84,10,1,1,10,1,90000,76500
"GageIt Construction, LLC",OR,12,8,1,0,8,1,590000,442500
"Illinois River Farms, Inc.",AR,144,2,2,4,2,1,1487500,1115625
Northern VA Compounders PLLC,VA,120,3,2,0,0,1,410000,307500
"SJV Wireless, Inc",ME,60,5,1,0,5,1,17600,8800
Veesat Information Systems Inc,VA,84,2,1,2,0,1,25000,12500
MARKET COOLING & CONSTRUCTION,CA,84,2,1,0,0,1,35000,17500
Chad D. Bullington,NC,36,6,1,0,6,2,70000,59500
"Rocky Mountain Restoration, LL",AZ,84,15,1,4,0,1,100000,50000
"Muddy Paw Sled Dog Kennel, LLP",NH,120,7,1,6,7,2,103200,87720
THE GREAT BEAR INC,CA,12,4,1,0,4,1,150000,75000
Feedbank Corp,CA,12,3,1,0,3,1,200000,100000
Maven Engineering Corporation,MD,12,28,1,0,28,1,3000000,2700000
